"","Bank_Name","city_name","employees"
"1","ABS Bank Spółdzielczy","Andrychów",""
"2","Abu Dhabi Commercial Bank","Abu Dhabi","1,854"
"3","Abu Dhabi Islamic Bank","Abu Dhabi",""
"4","ACB","Ho Chi Minh City","9,935"
"5","Aeon Bank","Tokyo","2,600"
"6","Afirme","Mexico City","3,000"
"7","Agricultural Bank of China","Beijing","459,000"
"8","Al Rajhi Bank","Riyadh","8,800"
"9","Alinma Bank","Riyadh","3,600"
"10","Alior Bank","Warsaw","8,143"
"11","Allianz Bank Financial Advisors","Milano","500"
"12","Allianz Banque","Paris","6,430"
"13","Ally Financial","Detroit","12,700"
"14","ANZ Bank New Zealand","Auckland","39,060"
"15","Aozora Bank","Tokyo","2,006"
"16","Argenta","Antwerp","2,100"
"17","Arvest Bank","Fayetteville","6,334"
"18","ASB Bank","Auckland","5,500"
"19","ASN Bank","Den Haag","175"
"20","Atlantic Union Bank","Richmond","1,879"
"21","AU Bank","Jaipur",""
"22","au Jibun Bank","Tokyo","510"
"23","Awa Bank","Tokushima City","1,308"
"24","AXA Group","Paris","110,477"
"25","Axis Bank","Mumbai","78,000"
"26","Banca di Credito Popolare","Napoli","501"
"27","Banca IFIS","Venezia","1,886"
"28","Banca Mediolanum","Milano","3,420"
"29","Banca Popolare di Sondrio","Sondrio","3,456"
"30","Banca Sella","Biella","1,934"
"31","BancFirst","Oklahoma City","1,863"
"32","Banco di Sardegna","Cagliari","678"
"33","Banco Inter","Belo Horizonte","3,800"
"34","Banco Safra","São Paulo","10,990"
"35","Banco Sofisa","São Paulo",""
"36","Bancoposta","Roma","121,000"
"37","BancorpSouth","Tupelo","4,596"
"38","Bandhan Bank","Kolkata","49,445"
"39","Bangor Savings Bank","Bangor","1,100"
"40","Bank 99","Wien",""
"41","Bank Albilad","Riyadh","7,500"
"42","Bank Central Asia","Jakarta","24,508"
"43","Bank Mandiri","Jakarta","38,176"
"44","Bank Millennium","Warsaw","5,891"
"45","Bank Negara Indonesia","Jakarta","27,170"
"46","Bank of Baroda","Mumbai","82,000"
"47","Bank of China","Beijing","304,521"
"48","Bank of Communications","Shanghai","10,000"
"49","Bank of Fukuoka","Fukuoka","3,542"
"50","Bank of Hawaii","Honolulu","2,022"
"51","Bank of Kyoto","Kyoto ","3,396"
"52","Bank of Melbourne","Melbourne","1,000"
"53","Bank of New Zealand","Auckland",""
"54","Bank of Oklahoma","Tulsa","4,915"
"55","Bank of Scotland","Edinburgh","61,576"
"56","Bank of Taiwan","Taipei","8,015"
"57","Bank of Yokohama","Yokohama","4,134"
"58","Bank OZK","Little Rock","2,800"
"59","Bank Rakyat Indonesia (BRI)","Jakarta","8,553"
"60","Bank SinoPac","Taipei","6,312"
"61","Bank Syariah Indonesia","Jakarta","17,636"
"62","Bank Yahav for Government Employees","Jerusalem","7,585"
"63","Bankinter","Madrid","6,138"
"64","BankSA","Adelaide",""
"65","Banner Bank ","Walla Walla","2,187"
"66","Banque Cantonale De Fribourg","Fribourg","458"
"67","Banregio","San Pedro Garza García","5,600"
"68","Banrisul","Porto Alegre","10,505"
"69","Bar Harbor Bank & Trust","Bar Harbor","489"
"70","Barclays","London","90,000"
"71","Basellandschaftliche Kantonalbank","Liestal","787"
"72","BBBank","Karlsruhe","1,382"
"73","BBVA-Banco Bilbao Vizcaya","Bilbao","115,675"
"74","BCA Syariah","Jakarta","581"
"75","BDO","Makati City","95,000"
"76","Belfius","Brussels","6,531"
"77","Bendigo Bank","Bendigo","7,000"
"78","Beobank","Brussels","1,030"
"79","Beyond Bank","Adelaide","665"
"80","Bforbank","Paris","300"
"81","BIDV","Hanoi","25,000"
"82","Bidvest Bank","Johannesburg","720"
"83","BKS Bank","Klagenfurt","986"
"84","BNC","Jakarta","641"
"85","BNK Financial Group","Nam-gu","1,358"
"86","BNP Paribas","Warsaw","205,771"
"87","Boursorama Banque","Boulogne-Billancourt","800"
"88","BPI","Makati City","19,181"
"89","BTV","Innsbruck","869"
"90","BW-Bank","Stuttgart","1,000"
"91","C6 Bank","São Paulo","1,172"
"92","Caixa","Brasilia","81,663"
"93","Camden National Bank","Camden","634"
"94","Canara Bank","Bengaluru","88,207"
"95","Capital One","McLean","51,800"
"96","CAPITEC","Stellenbosch","14,029"
"97","Casden","Paris","30,016"
"98","Cathay Financial","Taipei","56,760"
"99","CBC Banque","Namur","971"
"100","Centennial Bank","Conway","2,773"
"101","Central Bancompany","Jefferson City","3,000"
"102","CGB","Guangdong",""
"103","Charles Schwab","Henderson","21,000"
"104","Chase","New York","256,981"
"105","CheBanca!","Milano","1,040"
"106","Chime","San Francisco","1,200"
"107","China Construction Bank","Beijing","347,319"
"108","China Everbright Bank","Beijing","45,680"
"109","China Merchants Bank","Shenzhen","103,904"
"110","China Minsheng Bank","Beijing","60,278"
"111","Chunghwa Post","Taipei","25,000"
"112","CIBC","Toronto","50,000"
"113","CIC","Paris","17,794"
"114","CIMB Bank","Kuala Lumpur","33,000"
"115","Citibank","New York","230,000"
"116","Citizens Financial Group","Providence","18,503"
"117","City Bank","Lubbock","637"
"118","City National Bank (WV)","Charleston","891"
"119","Columbia Bank","Tacoma","663"
"120","comdirect","Quickborn","1,278"
"121","CommBank","Sydney","37,570"
"122","Commerce Bancshares","Kansas City","4,766"
"123","Commercial Bank","Doha","2,308"
"124","Commerzbank","Frankfurt (on the Main)","46,388"
"125","Community Bank (CBNA)","New York","3,000"
"126","Community Trust Bank","Pikeville","1,000"
"127","Consorsbank","Nuremberg","1,200"
"128","Credit Agricole","Montrouge","147,000"
"129","Crelan","Brussels","2,609"
"130","CTBC Bank","Taipei ","12,503"
"131","Great Southern Bank (Australia)","Brisbane","1,100"
"132","Cullen/Frost Bankers","San Antonio","4,685"
"133","DBS","Singapore","33,000"
"134","Deutsche Bank Italy","Milano","3,228"
"135","Discover Bank","Riverwoods","18,000"
"136","Discovery Holdings","Sandton","13,500"
"137","DKB","Berlin","4,573"
"138","Dollar Bank","Pittsburgh","1,378"
